scenario_file,run_id,algorithm_version,code_version,config_hash,final_time_s,global_coverage,priority_coverage,redundant_coverage_rate,total_distance_m,effective_search_distance_m,path_efficiency,min_battery,event_count,conflict_count,no_fly_violations,map_update_count,target_found_count,confirm_done_count,time_to_95_coverage_s,time_to_priority_coverage_s,coverage_goal_met,priority_goal_met,turn_rate,replan_count,coverage_gain_per_meter,post_95_extra_distance_m,per_uav_workload_balance,target_response_time_s,target_confirm_duration_s,confirm_success_rate,search_resume_delay_s,coverage_gap_at_confirm_done,interrupted_task_resume_rate,supplemental_task_count,ignored_uncovered_cells,final_uncovered_cells,final_priority_uncovered_cells,post_95_extra_time_s
config\scenarios\area_search_1uav.yaml,area_search_1uav,adaptive_component_sweep_v1,551d2a8,e239cd5acbba,751.0,0.9508264462809918,1.0,0.26597131681877445,7495.979797464464,7495.979797464464,1.0,0.5835566779186585,1,0,0,1,0,0,750.0,673.0,True,True,0.009071529251319646,12,0.00012640745884572851,0.0,1.0,,,0.0,,0.0,1.0,0,119,119,0,1.0
config\scenarios\area_search_2uav.yaml,area_search_2uav,adaptive_component_sweep_v1,551d2a8,fce10b3674b0,346.0,0.9508609827803444,1.0,0.1978798586572438,6889.827560572972,6889.827560572972,1.0,0.8085403238900251,0,0,0,0,0,0,345.0,282.0,True,True,0.009869622919030645,10,0.00013691215428603172,0.0,0.9996052578448165,,,0.0,,0.0,1.0,0,117,117,0,1.0
config\scenarios\area_search_3uav.yaml,area_search_3uav,adaptive_component_sweep_v1,551d2a8,2e6a48392619,252.0,0.9519860323003055,1.0,0.26180651077487394,7515.685424949242,7515.685424949242,1.0,0.8606508738195915,1,0,0,1,0,0,251.0,131.0,True,True,0.00931385443137713,11,0.0001249467634742333,0.0,0.9990941304418169,,,0.0,,0.0,1.0,1,110,110,0,1.0
config\scenarios\area_search_4uav.yaml,area_search_4uav,adaptive_component_sweep_v1,551d2a8,a47e5a31954e,235.0,0.959890610756609,1.0,0.3898385565052232,8243.502884254449,7461.665222413709,0.9051571070188993,0.87025605264256,1,0,0,1,0,0,200.0,145.0,True,True,0.013343841998297367,14,0.00011431003780007495,781.8376618407401,0.8916478211314347,,,0.0,,0.0,1.0,1,88,88,0,35.0
config\scenarios\area_search_5uav.yaml,area_search_5uav,adaptive_component_sweep_v1,551d2a8,04e10c97f0e2,238.0,0.9544211485870556,1.0,0.44317096466093603,9916.051224213843,8488.233764908633,0.8560094712077883,0.8684940677118635,1,0,0,1,0,0,185.0,128.0,True,True,0.016135455170834395,11,9.407553321135193e-05,1427.81745930521,0.8549499559491741,,,0.0,,0.0,1.0,0,100,100,0,53.0
config\scenarios\area_search_2uav_target_confirm.yaml,area_search_2uav_target_confirm,adaptive_component_sweep_v1,551d2a8,77b749c20f32,388.0,0.9512809743805124,1.0,0.2640176600441501,7728.944443027289,7345.096679918786,0.9503363278209623,0.7851280263212865,2,0,0,0,1,1,387.0,319.0,True,True,0.011644539647479807,11,0.00012210220069945927,0.0,0.9991666084671055,0.0,39.0,1.0,0.0,0.819382612347753,1.0,0,116,116,0,1.0
config\scenarios\stress_obstacle_maze_3uav.yaml,stress_obstacle_maze_3uav,adaptive_component_sweep_v1,551d2a8,9c0aff26f168,373.0,0.9548755186721992,1.0,0.47093970668115154,8693.797256769676,7521.248916810282,0.865128170656803,0.7933660413905896,0,0,0,0,0,0,316.0,219.0,True,True,0.010352208286191503,10,0.00010804431308375294,1172.548339959394,0.83109448824835,,,0.0,,0.0,1.0,0,87,87,0,57.0
config\scenarios\stress_fragmented_area_4uav_reachable.yaml,stress_fragmented_area_4uav_reachable,adaptive_component_sweep_v1,551d2a8,881fc3440010,289.0,0.9575786463298379,1.0,0.4619213539074166,10383.746750430848,8695.512985522211,0.8374157415926398,0.8453186628493436,0,0,0,0,0,0,226.0,130.0,True,True,0.014927174528170061,10,9.042877647066337e-05,1688.2337649086367,0.957175096908572,,,0.0,,0.0,1.0,0,89,89,0,63.0
config\scenarios\stress_5uav_balance.yaml,stress_5uav_balance,adaptive_component_sweep_v1,551d2a8,7a70a770787c,223.0,0.9798687089715536,1.0,0.4126842340330505,10136.639969244294,8664.0916292849,0.8547301330196918,0.8769131393410585,0,0,0,0,0,0,187.0,120.0,True,True,0.013022066523078935,10,9.459368659925054e-05,1472.548339959394,0.9000765075267487,,,0.0,,0.0,1.0,0,46,46,0,36.0
config\scenarios\stress_dynamic_obstacle_mid_route.yaml,stress_dynamic_obstacle_mid_route,adaptive_component_sweep_v1,551d2a8,711be4a95e53,226.0,0.9508336896109448,1.0,0.1650179856115108,6741.543289325509,6741.543289325509,1.0,0.8750163540286291,1,0,0,0,0,0,225.0,155.0,True,True,0.010680047121258432,10,0.0001393588791299455,0.0,0.9991170033833561,,,0.0,,0.0,1.0,0,115,115,0,1.0
